dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
Homo_sapiens,NodeSketch,2,8,0.3,0.33,0.197,0.0921,0.0727
Homo_sapiens,NodeSketch,2,16,0.3,0.44,0.112,0.1119,0.1122
Homo_sapiens,NodeSketch,2,32,0.3,0.36,0.262,0.1946,0.1467
Homo_sapiens,NodeSketch,2,64,0.3,0.38,0.214,0.1759,0.1343
Homo_sapiens,NodeSketch,2,128,0.3,0.34,0.273,0.1939,0.1406
Homo_sapiens,NodeSketch,2,256,0.3,0.37,0.325,0.2211,0.158
baralb_10000_16,NodeSketch,2,8,0.3,0.17,0.079,0.064,0.039
baralb_10000_16,NodeSketch,2,16,0.3,0.28,0.137,0.0761,0.0454
baralb_10000_16,NodeSketch,2,32,0.3,0.23,0.177,0.1019,0.0562
baralb_10000_16,NodeSketch,2,64,0.3,0.17,0.179,0.1179,0.0664
baralb_10000_16,NodeSketch,2,128,0.3,0.34,0.226,0.152,0.0729
baralb_10000_16,NodeSketch,2,256,0.3,0.39,0.247,0.1589,0.0836
baralb_10000_2,NodeSketch,2,8,0.3,0.6,0.358,0.2043,0.1473
baralb_10000_2,NodeSketch,2,16,0.3,0.64,0.455,0.26,0.2177
baralb_10000_2,NodeSketch,2,32,0.3,0.38,0.261,0.1686,0.1401
baralb_10000_2,NodeSketch,2,64,0.3,0.57,0.304,0.2148,0.1757
baralb_10000_2,NodeSketch,2,128,0.3,0.65,0.35,0.2273,0.1889
baralb_10000_2,NodeSketch,2,256,0.3,0.62,0.359,0.2341,0.1987
baralb_10000_8,NodeSketch,2,8,0.3,0.14,0.125,0.0952,0.0762
baralb_10000_8,NodeSketch,2,16,0.3,0.46,0.274,0.1572,0.0831
baralb_10000_8,NodeSketch,2,32,0.3,0.44,0.273,0.1338,0.0774
baralb_10000_8,NodeSketch,2,64,0.3,0.52,0.376,0.2269,0.1203
baralb_10000_8,NodeSketch,2,128,0.3,0.41,0.301,0.1935,0.1133
baralb_10000_8,NodeSketch,2,256,0.3,0.48,0.354,0.2048,0.118
baralb_1000_16,NodeSketch,2,8,0.3,0.25,0.138,0.0918,0.0914
baralb_1000_16,NodeSketch,2,16,0.3,0.26,0.174,0.1247,0.1138
baralb_1000_16,NodeSketch,2,32,0.3,0.43,0.244,0.1532,0.1404
baralb_1000_16,NodeSketch,2,64,0.3,0.37,0.27,0.1744,0.1557
baralb_1000_16,NodeSketch,2,128,0.3,0.36,0.277,0.1769,0.1584
baralb_1000_16,NodeSketch,2,256,0.3,0.45,0.276,0.1779,0.1632
baralb_1000_2,NodeSketch,2,8,0.3,0.53,0.283,0.047,0.2354
baralb_1000_2,NodeSketch,2,16,0.3,0.51,0.272,0.0411,0.2058
baralb_1000_2,NodeSketch,2,32,0.3,0.55,0.27,0.0437,0.2188
baralb_1000_2,NodeSketch,2,64,0.3,0.59,0.319,0.0485,0.2429
baralb_1000_2,NodeSketch,2,128,0.3,0.55,0.308,0.0491,0.2459
baralb_1000_2,NodeSketch,2,256,0.3,0.58,0.336,0.0506,0.2534
baralb_1000_8,NodeSketch,2,8,0.3,0.12,0.171,0.0841,0.1059
baralb_1000_8,NodeSketch,2,16,0.3,0.24,0.152,0.109,0.1372
baralb_1000_8,NodeSketch,2,32,0.3,0.28,0.201,0.1001,0.126
baralb_1000_8,NodeSketch,2,64,0.3,0.36,0.232,0.1307,0.1645
baralb_1000_8,NodeSketch,2,128,0.3,0.34,0.241,0.1265,0.1592
baralb_1000_8,NodeSketch,2,256,0.3,0.34,0.217,0.1134,0.1427
baralb_2500_16,NodeSketch,2,8,0.3,0.16,0.147,0.0884,0.0652
baralb_2500_16,NodeSketch,2,16,0.3,0.2,0.186,0.1218,0.0787
baralb_2500_16,NodeSketch,2,32,0.3,0.24,0.188,0.1223,0.0964
baralb_2500_16,NodeSketch,2,64,0.3,0.29,0.2,0.1385,0.104
baralb_2500_16,NodeSketch,2,128,0.3,0.28,0.2,0.1431,0.1074
baralb_2500_16,NodeSketch,2,256,0.3,0.29,0.227,0.1486,0.114
baralb_2500_2,NodeSketch,2,8,0.3,0.61,0.251,0.0986,0.1973
baralb_2500_2,NodeSketch,2,16,0.3,0.51,0.313,0.1064,0.2129
baralb_2500_2,NodeSketch,2,32,0.3,0.48,0.329,0.1058,0.2117
baralb_2500_2,NodeSketch,2,64,0.3,0.61,0.366,0.1123,0.2247
baralb_2500_2,NodeSketch,2,128,0.3,0.61,0.39,0.1235,0.2471
baralb_2500_2,NodeSketch,2,256,0.3,0.64,0.371,0.1216,0.2433
baralb_2500_8,NodeSketch,2,8,0.3,0.21,0.181,0.0856,0.0761
baralb_2500_8,NodeSketch,2,16,0.3,0.37,0.238,0.1262,0.1075
baralb_2500_8,NodeSketch,2,32,0.3,0.3,0.246,0.1399,0.1157
baralb_2500_8,NodeSketch,2,64,0.3,0.36,0.237,0.1394,0.1153
baralb_2500_8,NodeSketch,2,128,0.3,0.44,0.282,0.1642,0.1355
baralb_2500_8,NodeSketch,2,256,0.3,0.41,0.272,0.1661,0.1388
baralb_5000_16,NodeSketch,2,8,0.3,0.11,0.127,0.0656,0.0423
baralb_5000_16,NodeSketch,2,16,0.3,0.11,0.09,0.0699,0.0525
baralb_5000_16,NodeSketch,2,32,0.3,0.24,0.168,0.1057,0.0626
baralb_5000_16,NodeSketch,2,64,0.3,0.22,0.17,0.1227,0.0746
baralb_5000_16,NodeSketch,2,128,0.3,0.32,0.183,0.1266,0.0857
baralb_5000_16,NodeSketch,2,256,0.3,0.26,0.206,0.1295,0.0872
baralb_5000_2,NodeSketch,2,8,0.3,0.15,0.131,0.1135,0.1135
baralb_5000_2,NodeSketch,2,16,0.3,0.44,0.351,0.1846,0.1847
baralb_5000_2,NodeSketch,2,32,0.3,0.61,0.356,0.1998,0.1999
baralb_5000_2,NodeSketch,2,64,0.3,0.58,0.406,0.2183,0.2184
baralb_5000_2,NodeSketch,2,128,0.3,0.5,0.337,0.2028,0.2029
baralb_5000_2,NodeSketch,2,256,0.3,0.62,0.385,0.2212,0.2213
baralb_5000_8,NodeSketch,2,8,0.3,0.22,0.157,0.0669,0.0639
baralb_5000_8,NodeSketch,2,16,0.3,0.26,0.19,0.1023,0.065
baralb_5000_8,NodeSketch,2,32,0.3,0.23,0.203,0.1286,0.0987
baralb_5000_8,NodeSketch,2,64,0.3,0.41,0.258,0.133,0.1002
baralb_5000_8,NodeSketch,2,128,0.3,0.27,0.19,0.1621,0.1123
baralb_5000_8,NodeSketch,2,256,0.3,0.39,0.301,0.1827,0.1245
bin_10000_0005,NodeSketch,2,8,0.3,0.94,0.82,0.48,0.3436
bin_10000_0005,NodeSketch,2,16,0.3,0.9,0.742,0.5381,0.4081
bin_10000_0005,NodeSketch,2,32,0.3,0.91,0.819,0.5949,0.453
bin_10000_0005,NodeSketch,2,64,0.3,0.94,0.82,0.5867,0.4507
bin_10000_0005,NodeSketch,2,128,0.3,0.93,0.825,0.6261,0.4853
bin_10000_0005,NodeSketch,2,256,0.3,0.95,0.82,0.6309,0.4926
bin_10000_001,NodeSketch,2,8,0.3,0.74,0.575,0.3525,0.2227
bin_10000_001,NodeSketch,2,16,0.3,0.77,0.432,0.3144,0.2362
bin_10000_001,NodeSketch,2,32,0.3,0.9,0.704,0.4548,0.2927
bin_10000_001,NodeSketch,2,64,0.3,0.86,0.677,0.4674,0.3112
bin_10000_001,NodeSketch,2,128,0.3,0.95,0.763,0.5158,0.336
bin_10000_001,NodeSketch,2,256,0.3,0.86,0.754,0.5264,0.343
bin_10000_005,NodeSketch,2,8,0.3,0.12,0.118,0.0848,0.0472
bin_10000_005,NodeSketch,2,16,0.3,0.3,0.185,0.0943,0.0575
bin_10000_005,NodeSketch,2,32,0.3,0.33,0.257,0.1787,0.0754
bin_10000_005,NodeSketch,2,64,0.3,0.26,0.248,0.1705,0.0886
bin_10000_005,NodeSketch,2,128,0.3,0.31,0.256,0.1815,0.1031
bin_10000_005,NodeSketch,2,256,0.3,0.4,0.325,0.2316,0.1189
bin_10000_01,NodeSketch,2,8,0.3,0.08,0.088,0.0653,0.0301
bin_10000_01,NodeSketch,2,16,0.3,0.14,0.108,0.0713,0.0376
bin_10000_01,NodeSketch,2,32,0.3,0.09,0.101,0.0693,0.0411
bin_10000_01,NodeSketch,2,64,0.3,0.11,0.089,0.0767,0.0491
bin_10000_01,NodeSketch,2,128,0.3,0.16,0.143,0.1158,0.0624
bin_10000_01,NodeSketch,2,256,0.3,0.18,0.155,0.1217,0.0714
bin_1000_0005,NodeSketch,2,8,0.3,0.99,0.229,0.0229,0.874
bin_1000_0005,NodeSketch,2,16,0.3,1.0,0.226,0.0226,0.8626
bin_1000_0005,NodeSketch,2,32,0.3,1.0,0.229,0.0229,0.874
bin_1000_0005,NodeSketch,2,64,0.3,1.0,0.232,0.0232,0.8855
bin_1000_0005,NodeSketch,2,128,0.3,1.0,0.233,0.0233,0.8893
bin_1000_0005,NodeSketch,2,256,0.3,1.0,0.232,0.0232,0.8855
bin_1000_001,NodeSketch,2,8,0.3,1.0,0.369,0.0369,0.7235
bin_1000_001,NodeSketch,2,16,0.3,1.0,0.393,0.0393,0.7706
bin_1000_001,NodeSketch,2,32,0.3,1.0,0.401,0.0401,0.7863
bin_1000_001,NodeSketch,2,64,0.3,1.0,0.409,0.0409,0.802
bin_1000_001,NodeSketch,2,128,0.3,1.0,0.407,0.0407,0.798
bin_1000_001,NodeSketch,2,256,0.3,1.0,0.41,0.041,0.8039
bin_1000_005,NodeSketch,2,8,0.3,0.77,0.499,0.0916,0.3739
bin_1000_005,NodeSketch,2,16,0.3,0.77,0.541,0.0996,0.4065
bin_1000_005,NodeSketch,2,32,0.3,0.78,0.537,0.1032,0.4212
bin_1000_005,NodeSketch,2,64,0.3,0.81,0.653,0.1194,0.4873
bin_1000_005,NodeSketch,2,128,0.3,0.87,0.636,0.1195,0.4878
bin_1000_005,NodeSketch,2,256,0.3,0.82,0.631,0.1191,0.4861
bin_1000_01,NodeSketch,2,8,0.3,0.5,0.234,0.1041,0.2076
bin_1000_01,NodeSketch,2,16,0.3,0.47,0.34,0.1167,0.2327
bin_1000_01,NodeSketch,2,32,0.3,0.57,0.391,0.1472,0.2936
bin_1000_01,NodeSketch,2,64,0.3,0.73,0.487,0.161,0.3211
bin_1000_01,NodeSketch,2,128,0.3,0.75,0.525,0.1672,0.3335
bin_1000_01,NodeSketch,2,256,0.3,0.68,0.464,0.1692,0.3375
bin_2500_0005,NodeSketch,2,8,0.3,0.99,0.831,0.1093,0.7282
bin_2500_0005,NodeSketch,2,16,0.3,1.0,0.866,0.114,0.7595
bin_2500_0005,NodeSketch,2,32,0.3,1.0,0.866,0.1161,0.7735
bin_2500_0005,NodeSketch,2,64,0.3,1.0,0.884,0.1169,0.7788
bin_2500_0005,NodeSketch,2,128,0.3,1.0,0.88,0.1186,0.7901
bin_2500_0005,NodeSketch,2,256,0.3,1.0,0.873,0.1162,0.7742
bin_2500_001,NodeSketch,2,8,0.3,0.93,0.719,0.1648,0.532
bin_2500_001,NodeSketch,2,16,0.3,0.98,0.81,0.1777,0.5736
bin_2500_001,NodeSketch,2,32,0.3,0.96,0.807,0.1888,0.6094
bin_2500_001,NodeSketch,2,64,0.3,0.97,0.817,0.1916,0.6185
bin_2500_001,NodeSketch,2,128,0.3,0.97,0.822,0.1955,0.6311
bin_2500_001,NodeSketch,2,256,0.3,0.98,0.833,0.198,0.6391
bin_2500_005,NodeSketch,2,8,0.3,0.53,0.269,0.1664,0.1636
bin_2500_005,NodeSketch,2,16,0.3,0.57,0.428,0.2493,0.2186
bin_2500_005,NodeSketch,2,32,0.3,0.54,0.465,0.2798,0.2482
bin_2500_005,NodeSketch,2,64,0.3,0.53,0.417,0.2827,0.2551
bin_2500_005,NodeSketch,2,128,0.3,0.58,0.54,0.329,0.2902
bin_2500_005,NodeSketch,2,256,0.3,0.67,0.544,0.3442,0.2981
bin_2500_01,NodeSketch,2,8,0.3,0.24,0.212,0.1415,0.0923
bin_2500_01,NodeSketch,2,16,0.3,0.22,0.165,0.1352,0.1121
bin_2500_01,NodeSketch,2,32,0.3,0.47,0.31,0.1964,0.1459
bin_2500_01,NodeSketch,2,64,0.3,0.44,0.341,0.2241,0.1705
bin_2500_01,NodeSketch,2,128,0.3,0.5,0.358,0.2456,0.1855
bin_2500_01,NodeSketch,2,256,0.3,0.59,0.352,0.2433,0.1933
bin_5000_0005,NodeSketch,2,8,0.3,0.97,0.845,0.3374,0.5336
bin_5000_0005,NodeSketch,2,16,0.3,0.98,0.854,0.3727,0.5894
bin_5000_0005,NodeSketch,2,32,0.3,0.98,0.825,0.3692,0.5839
bin_5000_0005,NodeSketch,2,64,0.3,1.0,0.86,0.3911,0.6185
bin_5000_0005,NodeSketch,2,128,0.3,0.99,0.849,0.3962,0.6266
bin_5000_0005,NodeSketch,2,256,0.3,1.0,0.854,0.3998,0.6323
bin_5000_001,NodeSketch,2,8,0.3,0.69,0.554,0.3919,0.3778
bin_5000_001,NodeSketch,2,16,0.3,0.9,0.719,0.4438,0.4115
bin_5000_001,NodeSketch,2,32,0.3,0.94,0.752,0.4843,0.446
bin_5000_001,NodeSketch,2,64,0.3,0.93,0.772,0.5061,0.4676
bin_5000_001,NodeSketch,2,128,0.3,0.91,0.778,0.5135,0.4774
bin_5000_001,NodeSketch,2,256,0.3,0.94,0.79,0.5241,0.488
bin_5000_005,NodeSketch,2,8,0.3,0.43,0.279,0.126,0.0893
bin_5000_005,NodeSketch,2,16,0.3,0.38,0.266,0.1527,0.1007
bin_5000_005,NodeSketch,2,32,0.3,0.46,0.317,0.2276,0.1457
bin_5000_005,NodeSketch,2,64,0.3,0.62,0.402,0.2748,0.1747
bin_5000_005,NodeSketch,2,128,0.3,0.49,0.406,0.2878,0.1841
bin_5000_005,NodeSketch,2,256,0.3,0.53,0.428,0.3061,0.2016
bin_5000_01,NodeSketch,2,8,0.3,0.13,0.105,0.1001,0.0538
bin_5000_01,NodeSketch,2,16,0.3,0.21,0.155,0.1103,0.0712
bin_5000_01,NodeSketch,2,32,0.3,0.23,0.18,0.1295,0.079
bin_5000_01,NodeSketch,2,64,0.3,0.26,0.209,0.1634,0.1025
bin_5000_01,NodeSketch,2,128,0.3,0.39,0.262,0.187,0.1142
bin_5000_01,NodeSketch,2,256,0.3,0.31,0.26,0.1937,0.122
block_1000_2,NodeSketch,2,8,0.3,0.44,0.513,0.5221,0.5066
block_1000_2,NodeSketch,2,16,0.3,0.63,0.524,0.5248,0.5091
block_1000_2,NodeSketch,2,32,0.3,0.5,0.52,0.5273,0.5113
block_1000_2,NodeSketch,2,64,0.3,0.58,0.55,0.5259,0.5171
block_1000_2,NodeSketch,2,128,0.3,0.52,0.549,0.5513,0.5212
block_1000_2,NodeSketch,2,256,0.3,0.6,0.603,0.5753,0.5272
block_1000_4,NodeSketch,2,8,0.3,0.48,0.518,0.5326,0.5148
block_1000_4,NodeSketch,2,16,0.3,0.48,0.521,0.531,0.5177
block_1000_4,NodeSketch,2,32,0.3,0.62,0.594,0.5589,0.5233
block_1000_4,NodeSketch,2,64,0.3,0.73,0.631,0.571,0.5289
block_1000_4,NodeSketch,2,128,0.3,0.74,0.63,0.59,0.5365
block_1000_4,NodeSketch,2,256,0.3,0.67,0.666,0.599,0.5417
block_1000_8,NodeSketch,2,8,0.3,0.55,0.566,0.543,0.5248
block_1000_8,NodeSketch,2,16,0.3,0.58,0.603,0.5653,0.5336
block_1000_8,NodeSketch,2,32,0.3,0.63,0.611,0.582,0.5431
block_1000_8,NodeSketch,2,64,0.3,0.73,0.65,0.5881,0.5513
block_1000_8,NodeSketch,2,128,0.3,0.72,0.666,0.6009,0.5536
block_1000_8,NodeSketch,2,256,0.3,0.84,0.687,0.61,0.5603
block_2500_2,NodeSketch,2,8,0.3,0.53,0.498,0.4958,0.5031
block_2500_2,NodeSketch,2,16,0.3,0.49,0.518,0.5106,0.5037
block_2500_2,NodeSketch,2,32,0.3,0.54,0.548,0.5242,0.5053
block_2500_2,NodeSketch,2,64,0.3,0.6,0.534,0.5298,0.5069
block_2500_2,NodeSketch,2,128,0.3,0.55,0.528,0.5346,0.5094
block_2500_2,NodeSketch,2,256,0.3,0.56,0.559,0.537,0.5134
block_2500_4,NodeSketch,2,8,0.3,0.51,0.497,0.5167,0.5041
block_2500_4,NodeSketch,2,16,0.3,0.55,0.57,0.532,0.5061
block_2500_4,NodeSketch,2,32,0.3,0.51,0.544,0.54,0.5091
block_2500_4,NodeSketch,2,64,0.3,0.63,0.54,0.5337,0.5125
block_2500_4,NodeSketch,2,128,0.3,0.54,0.569,0.5511,0.5165
block_2500_4,NodeSketch,2,256,0.3,0.6,0.608,0.5659,0.5213
block_2500_8,NodeSketch,2,8,0.3,0.53,0.554,0.5285,0.5106
block_2500_8,NodeSketch,2,16,0.3,0.58,0.563,0.5461,0.5119
block_2500_8,NodeSketch,2,32,0.3,0.52,0.568,0.5545,0.5183
block_2500_8,NodeSketch,2,64,0.3,0.65,0.618,0.5757,0.5229
block_2500_8,NodeSketch,2,128,0.3,0.65,0.591,0.587,0.5283
block_2500_8,NodeSketch,2,256,0.3,0.72,0.658,0.6079,0.5331
block_5000_2,NodeSketch,2,8,0.3,0.5,0.513,0.5097,0.5013
block_5000_2,NodeSketch,2,16,0.3,0.52,0.492,0.5056,0.502
block_5000_2,NodeSketch,2,32,0.3,0.55,0.531,0.5138,0.5024
block_5000_2,NodeSketch,2,64,0.3,0.49,0.49,0.5102,0.5032
block_5000_2,NodeSketch,2,128,0.3,0.46,0.509,0.507,0.5045
block_5000_2,NodeSketch,2,256,0.3,0.59,0.552,0.5229,0.5067
block_5000_4,NodeSketch,2,8,0.3,0.51,0.499,0.4987,0.5026
block_5000_4,NodeSketch,2,16,0.3,0.53,0.523,0.5164,0.5039
block_5000_4,NodeSketch,2,32,0.3,0.52,0.527,0.5185,0.5054
block_5000_4,NodeSketch,2,64,0.3,0.64,0.519,0.5227,0.5066
block_5000_4,NodeSketch,2,128,0.3,0.62,0.556,0.5336,0.5096
block_5000_4,NodeSketch,2,256,0.3,0.6,0.583,0.5463,0.5127
